x,y,z
0.080000,0.480000,1.483200
0.080000,0.500000,1.500000
0.080000,0.520000,1.516800
0.080000,0.540000,1.533600
0.080000,0.560000,1.550400
0.080000,0.580000,1.567200
0.080000,0.600000,1.584000
0.080000,0.620000,1.600800
0.080000,0.640000,1.617600
0.080000,0.660000,1.634400
0.080000,0.680000,1.651200
0.080000,0.700000,1.668000
0.080000,0.720000,1.684800
0.080000,0.740000,1.701600
0.080000,0.760000,1.718400
0.080000,0.780000,1.735200
0.080000,0.800000,1.752000
0.080000,0.820000,1.768800
0.080000,0.840000,1.785600
0.080000,0.860000,1.802400
0.080000,0.880000,1.819200
0.080000,0.900000,1.836000
0.080000,0.920000,1.852800
0.080000,0.940000,1.869600
0.080000,0.960000,1.886400
0.080000,0.980000,1.903200
0.080000,1.000000,1.920000
0.090000,0.000000,1.090000
0.090000,0.020000,1.106400
0.090000,0.040000,1.122800
0.090000,0.060000,1.139200
0.090000,0.080000,1.155600
0.090000,0.100000,1.172000
0.090000,0.120000,1.188400
0.090000,0.140000,1.204800
0.090000,0.160000,1.221200
0.090000,0.180000,1.237600
0.090000,0.200000,1.254000
0.090000,0.220000,1.270400
0.090000,0.240000,1.286800
0.090000,0.260000,1.303200
0.090000,0.280000,1.319600
0.090000,0.300000,1.336000
0.090000,0.320000,1.352400
0.090000,0.340000,1.368800
0.090000,0.360000,1.385200
0.090000,0.380000,1.401600
0.090000,0.400000,1.418000
0.090000,0.420000,1.434400
0.090000,0.440000,1.450800
0.090000,0.460000,1.467200
0.090000,0.480000,1.483600
0.090000,0.500000,1.500000
0.090000,0.520000,1.516400
0.090000,0.540000,1.532800
0.090000,0.560000,1.549200
0.090000,0.580000,1.565600
0.090000,0.600000,1.582000
0.090000,0.620000,1.598400
0.090000,0.640000,1.614800
0.090000,0.660000,1.631200
0.090000,0.680000,1.647600
0.090000,0.700000,1.664000
0.090000,0.720000,1.680400
0.090000,0.740000,1.696800
0.090000,0.760000,1.713200
0.090000,0.780000,1.729600
0.090000,0.800000,1.746000
0.090000,0.820000,1.762400
0.090000,0.840000,1.778800
0.090000,0.860000,1.795200
0.090000,0.880000,1.811600
0.090000,0.900000,1.828000
0.090000,0.920000,1.844400
0.090000,0.940000,1.860800
0.090000,0.960000,1.877200
0.090000,0.980000,1.893600
0.090000,1.000000,1.910000
0.100000,0.000000,1.100000
0.100000,0.020000,1.116000
0.100000,0.040000,1.132000
0.100000,0.060000,1.148000
0.100000,0.080000,1.164000
0.100000,0.100000,1.180000
0.100000,0.120000,1.196000
0.100000,0.140000,1.212000
0.100000,0.160000,1.228000
0.100000,0.180000,1.244000
0.100000,0.200000,1.260000
0.100000,0.220000,1.276000
0.100000,0.240000,1.292000
0.100000,0.260000,1.308000
0.100000,0.280000,1.324000
0.100000,0.300000,1.340000
0.100000,0.320000,1.356000
0.100000,0.340000,1.372000
0.100000,0.360000,1.388000
0.100000,0.380000,1.404000
0.100000,0.400000,1.420000
0.100000,0.420000,1.436000
0.100000,0.440000,1.452000
0.100000,0.460000,1.468000
0.100000,0.480000,1.484000
0.100000,0.500000,1.500000
0.100000,0.520000,1.516000
0.100000,0.540000,1.532000
0.100000,0.560000,1.548000
0.100000,0.580000,1.564000
0.100000,0.600000,1.580000
0.100000,0.620000,1.596000
0.100000,0.640000,1.612000
0.100000,0.660000,1.628000
0.100000,0.680000,1.644000
0.100000,0.700000,1.660000
0.100000,0.720000,1.676000
0.100000,0.740000,1.692000
0.100000,0.760000,1.708000
0.100000,0.780000,1.724000
0.100000,0.800000,1.740000
0.100000,0.820000,1.756000
0.100000,0.840000,1.772000
0.100000,0.860000,1.788000
0.100000,0.880000,1.804000
0.100000,0.900000,1.820000
0.100000,0.920000,1.836000
0.100000,0.940000,1.852000
0.100000,0.960000,1.868000
0.100000,0.980000,1.884000
0.100000,1.000000,1.900000
0.110000,0.000000,1.110000
0.110000,0.020000,1.125600
0.110000,0.040000,1.141200
0.110000,0.060000,1.156800
0.110000,0.080000,1.172400
0.110000,0.100000,1.188000
0.110000,0.120000,1.203600
0.110000,0.140000,1.219200
0.110000,0.160000,1.234800
0.110000,0.180000,1.250400
0.110000,0.200000,1.266000
0.110000,0.220000,1.281600
0.110000,0.240000,1.297200
0.110000,0.260000,1.312800
0.110000,0.280000,1.328400
0.110000,0.300000,1.344000
0.110000,0.320000,1.359600
0.110000,0.340000,1.375200
0.110000,0.360000,1.390800
0.110000,0.380000,1.406400
0.110000,0.400000,1.422000
0.110000,0.420000,1.437600
0.110000,0.440000,1.453200
0.110000,0.460000,1.468800
0.110000,0.480000,1.484400
0.110000,0.500000,1.500000
0.110000,0.520000,1.515600
0.110000,0.540000,1.531200
0.110000,0.560000,1.546800
0.110000,0.580000,1.562400
0.110000,0.600000,1.578000
0.110000,0.620000,1.593600
0.110000,0.640000,1.609200
0.110000,0.660000,1.624800
0.110000,0.680000,1.640400
0.110000,0.700000,1.656000
0.110000,0.720000,1.671600
0.110000,0.740000,1.687200
0.110000,0.760000,1.702800
0.110000,0.780000,1.718400
0.110000,0.800000,1.734000
0.110000,0.820000,1.749600
0.110000,0.840000,1.765200
0.110000,0.860000,1.780800
0.110000,0.880000,1.796400
0.110000,0.900000,1.812000
0.110000,0.920000,1.827600
0.110000,0.940000,1.843200
0.110000,0.960000,1.858800
0.110000,0.980000,1.874400
0.110000,1.000000,1.890000
0.120000,0.000000,1.120000
0.120000,0.020000,1.135200
0.120000,0.040000,1.150400
0.120000,0.060000,1.165600
0.120000,0.080000,1.180800
0.120000,0.100000,1.196000
0.120000,0.120000,1.211200
0.120000,0.140000,1.226400
0.120000,0.160000,1.241600
0.120000,0.180000,1.256800
0.120000,0.200000,1.272000
0.120000,0.220000,1.287200
0.120000,0.240000,1.302400
0.120000,0.260000,1.317600
0.120000,0.280000,1.332800
0.120000,0.300000,1.348000
0.120000,0.320000,1.363200
0.120000,0.340000,1.378400
0.120000,0.360000,1.393600
0.120000,0.380000,1.408800
0.120000,0.400000,1.424000
0.120000,0.420000,1.439200
0.120000,0.440000,1.454400
0.120000,0.460000,1.469600
0.120000,0.480000,1.484800
0.120000,0.500000,1.500000
0.120000,0.520000,1.515200
0.120000,0.540000,1.530400
0.120000,0.560000,1.545600
0.120000,0.580000,1.560800
0.120000,0.600000,1.576000
0.120000,0.620000,1.591200
0.120000,0.640000,1.606400
0.120000,0.660000,1.621600
0.120000,0.680000,1.636800
0.120000,0.700000,1.652000
0.120000,0.720000,1.667200
0.120000,0.740000,1.682400
0.120000,0.760000,1.697600
0.120000,0.780000,1.712800
